Actor_id,Actor_name
1,50 Cent
2,A. J. Cook
3,A. J. Langer
4,A.J. Cook
5,Aadhi Pinisetty
6,Aahmuu Thirunyanam
7,Aaliyah
8,Aamir Ali
9,Aamir Bashir
10,Aamir Khan
11,Aamir Raza Hussain
12,Aarav Khanna
13,Aari
14,Aarif Lee
15,Aaron Eckhart
16,Aaron Jeffery
17,Aaron Yoo
18,Aarti Chabria
19,Aashish Chaudhary
20,Aasif Mandvi
21,Abbie Cornish
22,Abena Ayivor
23,Abhay Deol
24,Abhimanyu Singh
25,Abhin Galeya
26,Abhiroy Singh Cheema
27,Abhishek Bachchan
28,Abigail Breslin
29,Abigail Hardingham
30,Abner
31,Achla Sachdev
32,Achyuth Kumar
33,Ada Choi
34,Adah Sharma
35,Adam Beach
36,Adam Brody
37,Adam Carolla
38,Adam Driver
39,Adam Lawrence
40,Adam May
41,Adam Pally
42,Adam Rayner
43,Adam Rodríguez
44,Adam Scott
45,Adarsh Gourav
46,Adewale Akinnuoye-Agbaje
47,Adithya Menon
48,Aditi Rao Hydari
49,Adolfo Quinones
50,Adolphe Menjou
51,Adrian Grenier
52,Adrian Martinez
53,Adrienne Ames
54,Adrienne Bailon
55,Adrienne Barbeau
56,Adrienne Corri
57,Adrienne King
58,Aftab Shivdasani
59,Agha
60,Agnes Kittelsen
61,Agnes Moorehead
62,Ahn Seo-hyun
63,Aidan Bristow
64,Aidan Gillen
65,Aidan Quinn
66,Aimee-Lynn Chadwick
67,Aisha Tyler
68,Aishwarya Rai
69,Aishwarya Rai Bachchan
70,Aishwarya Rajesh
71,Ajay
72,Ajay Devgan
73,Ajay Devgn
74,Ajay Purkar
75,Ajit
76,Aju Varghese
77,Akash Thosar
78,Akira Emoto
79,Akira Kobayashi
80,Akshay Khanna
81,Akshay Kumar
82,Akshay Tanksale
83,Akshaye Khanna
84,Al Lettieri
85,Al Pacino
86,Al St. John
87,Al Tantay
88,Alain Delon
89,Alan Arkin
90,Alan Cox
91,Alan Cumming
92,Alan Hale Jr.
93,Alan Ladd
94,Alan Mowbray
95,Alan Ruck
96,Alan Tam
97,Alan Thicke
98,Alan Tudyk
99,Alana Stewart
100,Albert Brooks
101,Albert Finney
102,Alberta Watson
103,Alec Baldwin
104,Alec Guinness
105,Aleksandar Aleksiev
106,Aleksandr Gorchilin
107,Aleksandr Ilyin Jr.
108,Aleksei Serebryakov
109,Aleksey Morozov
110,Alessandra de Rossi
111,Alessandro Nivola
112,Alex Carter
113,Alex Cox
114,Alex Désert
115,Alex Dafoe
116,Alex Fong
117,Alex Gonzaga
118,Alex Karras
119,Alex Kingston
120,Alex Manette
121,Alex Menglet
122,Alex Newell
123,Alex Perry
124,Alex Pettyfer
125,Alex Shaffer
