Director_id,Director_name
1,A. Bhimsingh
2,A. Edward Sutherland
3,A. L. Vijay
4,Émile Gaudreault
5,Aaron Blaise
6,Bob Walker
7,Aaron Kim
8,Aaron Sorkin
9,Abbas Mustan
10,Abbas Tyrewala
11,Abbas-Mustan
12,Abel Ferrara
13,Abhijeet Satam
14,Abhinay Deo
15,Abhishek Chaubey
16,Abhishek Kapoor
17,Abhishek Varman
18,Adam Kassen
19,Mark Kassen
20,Adam McKay
21,Adam Randall
22,Adam Rifkin
23,Adam Shankman
24,Adam Smith
25,Aditya Chopra
26,Adrian Vitoria
27,Advait Chandan
28,Ahishor Solomon
29,Ahn Sang-hoon
30,Aidan Belizaire
31,Aishwarya R. Dhanush
32,Ajay Bhuyan
33,Ajay Gnanamuthu
34,Ajmal Zaheer Ahmad
35,Akiva Schaffer
36,Akshay Akkineni
37,Alan Bunce
38,Alan Clarke
39,Alan Le May
40,Alan Mak
41,Andrew Lau
42,Alan Metter
43,Alan Parker
44,Alan Rafkin
45,Alan Rudolph
46,Alan Taylor
47,Alastair Fothergill
48,Mark Linfield
49,Keith Scholey
50,Alastair Siddons
51,Albert Hughes
52,Allen Hughes
53,Albert Band
54,Albert C. Gannaway
55,Albert H. Kelley
56,Albert Herman
57,Albert Kelley
58,Albert Pyun
59,Albert Ray
60,Albert S. Rogell
61,Alec Morgan
62,Alec Su
63,Alejandro González Iñárritu
64,Aleksey Tsitsilin
65,Alex Cox
66,Alex Garland
67,Alex Gregory
68,Peter Huyck
69,Alex Nicol
70,Alex Pastor
71,David Pastor
72,Alex Ross Perry
73,Alexander Korda
74,Alexander MacKendrick
75,Alexander Payne
76,Alexander Witt
77,Alexei Popogrebski
78,Alexei Uchitel
79,Alexis Thurn
80,Alfonso Aráu
81,Alfred E. Green
82,Alfred Hitchcock
83,Alfred L. Werker
84,Alfred Santell
85,Alfred Zeisler
86,Alfredo De Villa
87,Ali Abbas Zafar
88,Allan Arkush
89,Allan Dwan
90,Allan Goldstein
91,Allan Holzman
92,Amardeep Singh Gill
93,Ömer Faruk Sorak
94,Amit Maitra
95,Sombhu Mitra
96,Amit Masurkar
97,Amit Saxena
98,Amitoj Maan
99,Ana Lily Amirpour
100,Anand Shankar
101,Anand Tucker
102,Ananda Krishnan
103,Anant Balani
104,Anant Mahadevan
105,André de Toth
106,Andrea Arnold
107,Andrei Konchalovsky
108,Andrei Kravchuk
109,Andrew Adamson
110,Andrew Bujalski
111,Andrew Currie
112,Andrew Davis
113,Andrew Douglas
114,Andrew Gallerani
115,Andrew L. Stone
116,Andrew Stanton
117,Lee Unkrich
118,Andrew V. McLaglen
119,Andrzej Bartkowiak
120,Andrzej Jakimowski
121,Andy Dick
122,Andy Fickman
123,Andy Serkis
124,Andy Tennant
125,Andy Wachowski
126,Larry Wachowski
127,Anees Bazmee
128,Aneesh Anvar
129,Angela Robinson
130,Anil Kumar
131,Anil Ravipudi
132,Anil Sharma
133,Anita Doron
134,Annette Haywood-Carter
135,Anthony Burns
136,Anthony C. Ferrante
137,Anthony Harvey
138,Anthony Hemingway
139,Anthony Kimmins
140,Anthony Mann
141,Anthony Michael Hall
142,Anthony Page
143,Anthony Russo
144,Joe Russo
145,Anthony Simmons
146,Antoine Fuqua
147,Antoine Thomas
148,Antoinette Jadaone
149,Anton Corbijn
150,Antonio Campos
151,Antony Balch
152,Antony Szeto
153,Anurag Basu
154,Anurag Kashyap
155,Anurag Singh
156,Aparna Sen
157,Apoorva Lakhia
158,April Mullen
159,AR Murugadoss
160,Arch Oboler
161,Arie Posin
162,Ariel Kleiman
163,Ariel Vromen
164,Arjun
165,Arjun Sarja
166,Arlene Sanford
167,Armand Schaefer
168,Armand Weston
169,Armando Iannucci
170,Arnab Chaudhuri
171,Arnold Laven
172,Art Clokey
173,Arthur Hiller
174,Arthur Hilton
175,Arthur Hopkins
176,Arthur Lubin
177,Arthur Marks
178,Arthur Penn
179,Arthur Pierson
180,Artie Mandelberg
181,Arun Prabu Purushothaman
182,Arun Vaidyanathan
183,Asger Leth
184,Ashish R Shukla
185,Ashok Roy
186,Ashutosh Gowarikar
187,Ashwin Saravanan
188,Ashwini Iyer Tiwari
189,Atanu Mukherjee
190,Atlee
191,Atom Egoyan
192,Atul Kale
193,Avinash Das
194,Ayaan Mukherjee
195,Ayush Raina
196,Azazel Jacobs
197,Aziz Mirza
198,B.R. Chopra
199,B. Kalidas
200,B. N. Shajeer Shah
201,B. Reeves Eason
202,B. S. Pradeep Varma
203,B. Unnikrishnan
204,Babak Anvari
205,Babbar Subhash
206,Babu Narayanan
207,Baek Jong-yul
208,Baillie Walsh
209,Balaji Mohan
210,Balaji Sakthivel
211,Baljit Singh Deo
212,Balu Mahendra
213,Bapu
214,Baran bo Odar
215,Barbara Peters
216,Barnaby Southcombe
217,Barnet Kellman
218,Barry Levinson
219,Barry Mahon
220,Barry Shear
221,Barry Sonnenfeld
222,Basil Dean
223,Basu Chatterjee
224,Beeban Kidron
225,Bejoy Nambiar
226,Ben Demaree
227,Ben Howling
228,Yolanda Ramke
229,Ben Safdie
230,Joshua Safdie
231,Ben Wheatley
232,Benjamin Stoloff
233,Bennett Miller
234,Benny Chan
235,Benoît Pilon
236,Bernard L. Kowalski
237,Bernard Miles
238,Bernard Rose
239,Bernard Vorhaus
240,Bert I. Gordon
241,Betty Thomas
242,Bhaskar Bandi
243,Bhimaneni Srinivasa Rao
244,Bibo Bergeron
245,Will Finn
246,Bill Bixby
247,Bill Condon
248,Bill Duke
249,Bill Ewing
250,Bill Fishman
251,Bill Forsyth
252,Bill Froelich
253,Bill Gunn
254,Bill Karn
255,Bill Paxton
256,Bill Plympton
257,Bill Pohlad
258,Billy Wilder
259,Bimal Roy
260,Biyi Bandele
261,BJ McDonnell
262,Blair Treu
263,Blake Edwards
264,Blake Van de Graaf
265,Bo Welch
266,Boaz Yakin
267,Bob Clark
268,Bob Dahlin
269,Bob Gale
270,Bob Giraldi
271,Bob Kellett
272,Bob Spiers
273,Bobby Farrelly
274,Peter Farrelly
275,Bong Joon-ho
276,Boris Khlebnikov
277,Aleksey Popogrebskiy
278,Boyapati Srinu
279,Brad Anderson
280,Brad Bird
281,Brad Furman
282,Brad Peyton
283,Bradley Parker
284,Brandon Cronenberg
285,Breck Eisner
286,Brenda Chapman
287,Brendan Bradley
288,Bretaigne Windust
289,Brian A. Miller
290,Brian Brightly
291,Brian De Palma
292,Brian Desmond Hurst
293,Brian Fee
294,Brian Helgeland
295,Brian Henson
296,Brian Klugman
297,Lee Sternthal
298,Brian Levant
299,Brian Pimental
300,Brian Trenchard-Smith
301,Brian Yuzna
302,Britt Leonard
303,Bruce Beresford
304,Bruce Kessler
305,Bruce Malmuth
306,Bruce McDonald
307,Bruce Pittman
308,Bruce Robinson
309,Bruce Smith
310,Bryan Forbes
311,Budd Boetticher
312,Buddy Giovinazzo
313,Burny Mattinson
314,Burr Steers
315,Burt Balaban
316,Burt Kennedy
317,Burt Lancaster
318,Burt Reynolds
319,Busby Berkeley
320,Buster Keaton
321,Buzz Kulik
322,Byron Haskin
323,Byron Howard
324,Rich Moore
325,Nathan Greno
326,C. S. Amudhan
327,C. V. Kumar
328,Callie Khouri
329,Cameron Cairnes
330,Colin Cairnes
331,Cameron Crowe
332,Camille Delamarre
333,Campbell Scott
334,Stanley Tucci
335,Carl Bessai
336,Carl Franklin
337,Carl Hittleman
338,Carl Schultz
339,Carlo Carlei
340,Caroline Thompson
341,Carroll Ballard
342,Cate Shortland
343,Catherine Hardwicke
344,Cathy Garcia-Molina
345,Chad Archibald
346,Chakri Toleti
347,Chan Chi-fat
348,Chandra Sekhar Yeleti
349,Chang
350,Chang Cheh
351,Pao Hsueh Lieh
352,Chang You-jeong
353,Charla Driver
354,Charles A. Nichols
355,Charles B. Pierce
356,Charles Barton
357,Charles Binamé
358,Charles Guggenheim
359,Charles Haid
360,Charles Lamont
361,Charles Martin Smith
362,Charles Riesner
363,Charles Saunders
364,Charles Shyer
365,Charles Walters
366,Charlie McDowell
367,Cheh Chang
368,Chen Sicheng
369,Chen Yu-hsun
370,Cheng Er
371,Cheryl Dunye
372,Chiodu Brothers
373,Cho Geun-hyun
374,Cho Hyun-hoon
375,Choo Chang-min
376,Chris Buck
377,Jennifer Lee
378,Chris Foggin
379,Chris Gerolmo
380,Chris Heimerdinger
381,Chris Koch
382,Chris Lavis
383,Maciek Szczerbowski
384,Chris Matheson
385,Chris Nelson
386,Chris Riedell
387,Chris Sanders
388,Dean DeBlois
389,Chris Wedge
390,Carlos Saldanha
391,Chris Weitz
392,Paul Weitz
393,Chris Williams
394,Christian Desmares
395,Franck Ekinci
396,Christian E. Christiansen
397,Christoph Schrewe
398,Christopher Douglas Ray
399,Christopher Douglas-Olen Ray
400,Christopher Fraser
401,Christopher Larkin
402,Christopher Leitch
403,Christopher McQuarrie
404,Christopher Nolan
405,Christopher Presswell
406,Christopher Smith
407,Christy Cabanne
408,Chuck Russell
409,Chuck Sheetz
410,Ciaran Foy
411,Clarence Brown
412,Maurice Tourneur
413,Clarence Fok
414,Clement Virgo
415,Cliff Owen
416,Clint Eastwood
417,Clive Barker
418,Clive Donner
419,Clive Rees
420,Clyde Bruckman
421,Clyde Geronimi
422,Wilfred Jackson
423,Co Hoedeman
424,Coleman Francis
425,Colin Carter
426,Sandra Feldman
427,Colin Eggleston
428,Colin Teague
429,Colm McCarthy
430,Cordell Barker
431,Cornel Wilde
432,Courtney Solomon
433,Craig Brewer
434,Craig Gillespie
435,Craig Johnson
436,Craig Monahan
437,Craig Moss
438,Craig Rosenberg
439,Crane Wilbur
440,Curt Hahn
441,Curt Siodmak
442,Curtis Hanson
443,Curtis Harrington
444,Cy Endfield
445,D. J. Caruso
446,D. R. Hood
447,D. W. Griffith
448,D.J. Webster
449,D.W. Griffith
450,Daina Reid
451,Damien Dante Wayans
452,Dan Fogelman
453,Dan Scanlon
454,Dan Villegas
455,Daniel Barber
456,Daniel Benmayor
457,Daniel Lee
458,Daniel MacIvor
459,Daniel Stamm
460,Daniel Stern
461,Danny Boyle
462,Danny Pang Fat
463,Oxide Pang Chun
464,Danny Steinmann
465,Dante Lam
466,Darnell Martin
467,Darrell Rooney
468,Darren Aronofsky
469,Darren Stein
470,Dave Fleischer
471,Dave Green
472,Dave Thomas
473,David Acomba
474,David Ayer
475,David Bezmozgis
476,David Bruckner
477,David Carson
478,David Cronenberg
479,David Devine
480,David Dhawan
481,David Fincher
482,David Gordon Green
483,David Greene
484,David Hand
485,David Howard
486,David Keating
487,David Koepp
488,David L. Cunningham
489,David L. Hewitt
490,David Lean
491,David LG Hughes
492,David Lowery
493,David Lynch
494,David MacDonald
495,David Mackenzie
496,David Mamet
497,David Michôd
498,David Mickey Evans
499,David Miller
500,David Mirkin
501,David Nixon
502,David O. Russell
503,David R. Ellis
504,David Robert Deranian
505,Austin Robert Hines
506,David S. Goyer
507,David S. Ward
508,David Silverman
509,David Soren
510,David Stevens
511,David Swift
512,David Wickes
513,David Winters
514,David Zucker
515,Dean Cundey
516,Dean Francis
517,Dean Hamilton
518,Dean Parisot
519,Dean Riesner
520,Debaloy Dey
521,Deborah Brock
522,Deborah Kaplan
523,Harry Elfont
524,Deepak Bahry
525,Deepak Sareen
526,Del Tenney
527,Delmer Daves
528,Denis Héroux
529,Denis Sanders
530,Denis Villeneuve
531,Dennie Gordon
532,Dennis Hopper
533,Derek Cianfrance
534,Derek Yee
535,Derrick Börte
536,Derrick Sims
537,Destin Cretton
538,Devendra Goel
539,Dhanush
540,Dharmesh Darshan
541,Diablo Cody
542,Diao Yi'nan
543,Dibakar Banerjee
544,Dick Richards
545,Dilip Shukla
546,Dinesh Vijan
547,Ben Blaine
548,Dorota Kobiela
549,James Nunn
550,Jeremy Degruson
551,Joachim Rønning
552,Joel Coen
553,Ethan Coen
554,Lynne Ramsay
555,Michael Apted
556,Richard Loncraine
557,The Wachowskis
558,Toa Fraser
559,Yorgos Lanthimos
560,Dmitriy Dyachenko
561,Dominic Burns
562,"Don ""Red"" Barry"
563,Don Bluth
564,Gary Goldman
565,Don Chaffey
566,Don Coscarelli
567,Don Hartman
568,Don McKellar
569,Don Roos
570,Don Siegel
571,Don Weis
572,Donald Crombie
573,Donald P. Bellisario
574,Dong-Wook Lee
575,Tommy Yune
576,Donovan Winter
577,Dorothy Davenport
578,Doug Liman
579,Douglas Cheek
580,Drake Doremus
581,Dudley Murphy
582,Duncan Jones
583,Duncan Roy
584,D'Urville Martin
585,Dusan Makavejev
586,Dustin Hoffman
587,Duwayne Dunham
588,Dwight Little
589,E. V. V. Satyanarayana
590,Ed Gass-Donnelly
591,Ed Wood
592,Edgar G. Ulmer
593,Edgar Wright
594,Edmond O'Brien
595,Edmond T. Gréville
596,Edmund Goulding
597,Edoardo Ponti
598,Edward Cline
599,Edward Dmytryk
600,Edward H. Griffith
601,Edward L. Cahn
602,Edward Ludwig
603,Edward McHenry
604,Rory McHenry
605,Edward Montagne
606,Edward Sedgwick
607,Edward Sloman
608,Edward Zwick
609,Edwin L. Marin
610,Edwin Sherin
611,Elaine Constantine
612,Eliza Hittman
613,Ellen Perry
614,Elliot Hegarty
615,Elliot Silverstein
616,Elliott Nugent
617,Elmer Clifton
618,Emanuel Hoss-Desmarais
619,Emile Ardolino
620,Eran Creevy
621,Eric Darnell
622,Tim Johnson
623,Tom McGrath
624,Eric Karson
625,Eric Leighton
626,Ralph Zondag
627,Eric Till
628,Ericson Core
629,Eriq La Salle
630,Ernest Day
631,Ernie Barbarash
632,Ernst Lubitsch
633,Ethan Wiley
634,Eugene Corr
635,Evan Goldberg
636,F. Richard Jones
637,Farah Khan
638,Farhan Akhtar
639,Felix E. Feist
640,Feng Xiaogang
641,Fenton Bailey
642,Randy Barbato
643,Feroz
644,Fielder Cook
645,Fletcher Markle
646,Floria Sigismondi
647,Florian Henckel von Donnersmarck
648,Forest Whitaker
649,François Simard
650,Anouk Whissell
651,Yoann-Karl Whissell
652,Francis D. Ryan
653,Francis Ford Coppola
654,Francis Glebas
655,Frank Borzage
656,Frank Capra
657,Frank Coraci
658,Frank Darabont
659,Frank Harper
660,Frank Marshall
661,Frank McDonald
662,Frank Nissen
663,Frank Oz
664,Frank Perry
665,Frank Powell
666,Frank R. Strayer
667,Frank Ross
668,Franklin J. Schaffner
669,Fred C. Brannon
670,Fred C. Newmeyer
671,Fred Dekker
672,Fred Durst
673,Fred Guiol
674,Fred Wolf
675,Freddie Francis
676,Fredrik Bond
677,Fritz Kiersch
678,Fritz Lang
679,Fukasaku
680,KinjiKinji Fukasaku
681,Fung Chi-keung
682,G. N. R. Kumaravelan
683,Gabriela Cowperthwaite
684,Gabriele Muccino
685,Galt Niederhoffer
686,Ganesh Acharya
687,Ganesh Kadam
688,Gareth Carrivick
689,Gareth Lewis
690,Garry Marshall
691,Gary Chapman
692,Gary Entin
693,Gary Fleder
694,Gary Nelson
695,Gary Trousdale
696,Kirk Wise
697,Gary Wheeler
698,Gaurav
699,Gavin Millar
700,Gavin O'Connor
701,George A. Romero
702,George Archainbaud
703,George Barry
704,George Beck
705,George C. Wolfe
706,George Gallo
707,George Hickenlooper
708,George Marshall
709,George McCowan
710,George Melford
711,George Mendeluk
712,George P. Cosmatos
713,George Pollock
714,George Scribner
715,George Seaton
716,George Sherman
717,George Stevens
718,George Tillman Jr.
719,George Waggner
720,Gerard McMurray
721,Gerd Oswald
722,Gerry Lively
723,Gia Milani
724,Gil Dennis
725,Gil Junger
726,Gil Kenan
727,Gillian Armstrong
728,Gillian Robespierre
729,Gillies MacKinnon
730,Glenn Jordan
731,Godfrey Grayson
732,Godfrey Ho
733,Gokul
734,Gonzalo Lopez-Gallego
735,Gopichand
736,Gordon Chan
737,Gordon Douglas
738,Gordon Hessler
739,Gordon Parry
740,Gordon Willis
741,Gore Verbinski
742,Govi
743,Govind Moonis
744,Graham Cantwell
745,Greg Berlanti
746,Greg Kiefer
747,Greg McLean
748,Greg Whiteley
749,Gregg C. Tallas
750,Gregor Jordan
751,Gregory Hatanaka
752,Gregory La Cava
753,Gregory Widen
754,Greta Gerwig
755,Guan Hu
756,Guillermo del Toro
757,Gulzar
758,Gurinder Chadha
759,Guru Dutt
760,Gus Van Sant
761,Guy Browning
762,Guy Hamilton
763,Guy Maddin
764,Evan Johnson
765,H. B. Halicki
766,H. Bruce Humberstone
767,H. C. Potter
768,Habib Faisal
769,Hadi Hajaig
770,Hakan Algül
771,Hal Ashby
772,Hal Roach
773,Hal Walker
774,Han Han
775,Han Sang-ho
776,Hannah Fidell
777,Harald Zwart
778,Hari
779,Harley Cokeliss
780,Harmon Jones
781,Harold Becker
782,Harold Cronk
783,Harold F. Kress
784,Harold French
785,Harold P. Warren
786,Harold Ramis
787,Harold S. Bucquet
788,Harold Schuster
789,Harold Young
790,Harry Baweja
791,Harry Essex
792,Harry Horner
793,Harry L. Fraser
794,Harry Revier
795,Harry Winer
796,Harvey Berman
797,Harvey Glazer
798,Hasebe
799,YasuharuYasuharu Hasebe
800,Hasnain Hyderabadwala
801,Heitor Dhalia
802,Heldon Larry
803,Henry Cass
804,Henry Cornelius
805,Henry Edwards
806,Henry Hathaway
807,Henry Jaglom
808,Henry Joost
809,Ariel Schulman
810,Henry King
811,Henry Koster
812,Henry Levin
813,Henry Selick
814,Herb Freed
815,Herbert J. Biberman
816,Herbert Kline
817,Herbert L. Strock
818,Herk Harvey
819,Herman Yau
820,Hideo Nakata
821,Hirokazu Koreeda
822,Hiromasa Yonebayashi
823,Hiroyuki Seshita
824,Kōbun Shizuno
825,Ho Meng Hua
826,Honda
827,IshirōIshirō Honda
828,Honey Irani
829,Hot Cars
830,Hou Hsiao-hsien
831,Howard Bretherton
832,Howard Deutch
833,Howard Hawks
834,Howard Higgin
835,Howard R. Cohen
836,Howard W. Koch
837,Howard Zieff
838,Hoyt Yeatman
839,Hrishikesh Mukherjee
840,Hugh Wilson
841,Hugo Fregonese
842,Hur Jin-ho
843,Hwang Dong-hyuk
844,Hy Averback
845,Ib Melchior
846,Ida Lupino
847,Igor Kovalyov
848,Ilmar Raag
849,Im Chan-sang
850,Imtiaz Ali
851,Inder Kumar
852,Indra Kumar
853,Indrajit Nattoji
854,Ira Sachs
855,Irving Lerner
